"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"fgoPQ`NU`cpP^AGBc`sprxE\BbHQDbDbDbDcHEDQHaHaFwjjjjj`hJj`@@ !BYlifuW?~F\hr?g?~?cK~SQgJrf[UFSK~?dw~LagJF]WUF\hYYliM?oyM?dufrmUfraeM?oyM?cKJFP","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-(amino-3-pyridinylmethylene)bis[phosp...","1606176-16-2","C18H42N2O4P2Si4","524.83","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607","","0 structures","DS-49","Opt, SPE, NoRh","Phosphonous acid, P,P′-(amino-3-pyridinylmethylene)bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fgo`Q`NPP{pO@caQpYxQ\DnAQDHbPdPdPdHJIBQBQBHI{uUUUUUAUT@@@@ !B@Oy}bGvw@ha??g?~@k\BbHa}mpI??ox@?g}}bGvw@Oy??`Jw@h`Bmw?~?g?~@@JwmwvH@`C~@OxBmp","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[(phenylamino)methylene]bis[phosphonite]","1227665-17-9","C19H43NO4P2Si4","523.84","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607","","0 structures","MS-91","Opt, SPE, NoRh","Phosphonous acid, P,P′-[(phenylamino)methylene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fgo`Q`NPQxHO@caQpYxY\BnAQDHbQBQBQBQdBbHdPdPc[uUUUUPTEUP@@@ !B@Oy}mwvH@h`Bm{\BiJR[fpJHbGvw@orwb@Jw_[]}?`A_^gi_mpJH@in[fynw@`JH?[^H?GvH@k]zWp","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-(aminophenylmethylene)bis[phosphonite]","1606176-15-1","C19H43NO4P2Si4","523.84","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://link.springer.com/article/10.1134/S1070363213060340<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21100<NL>https://link.springer.com/article/10.1134/S1070363209090230<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Russian Journal of General Chemistry (2013), 83(6), 1175-1177<NL>Heteroatom Chemistry (2013), 24(5), 355-360<NL>Russian Journal of General Chemistry (2009), 79(9), 1936-1938<NL>Heteroatom Chemistry (2009), 20(6), 319-324<NL>","","0 structures","DS-50","Opt, SPE, NoRh","Phosphonous acid, P,P′-(aminophenylmethylene)bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fgwAS`HHyxHO@caQpYxQ\LnAW@hbDQHaHaHaHQAQHcHaHbjjjjjjjjj`@@ !BF\hYuPC~YliM?`C~?cK~SV[JuV[JFTw~?dw~Lf[JYmWJYmTYLoxYu\ifYmTYrcK~?cK~SQgUuV[JFP","Phosphonous acid, [1-[(trimethylsilyl)oxy]propylidene]bis-, tetrakis(trimethy...","104797-20-8","C18H50O5P2Si5","548.96","substituted bridge","-","Zeitschrift fuer Chemie (1985), 25(10), 370-1<NL>","","0 structures","DS-51","Opt","Phosphonous acid, [1-[(trimethylsilyl)oxy]propylidene]bis-, tetrakis(trimethylsilyl) ester"
"eodP@D@@O@SprRJJIIIQQKQQiIQISpqH[YYzh@`Bb`@@B`@P@Pb@@ !Bm?vmLHc}?g~w@g|n[NbH@k_}m?vmLJtpbOvRLK\B?g~w@fshb@K~_p@nD~bH?Xc}dcBRLOy?b@K~_qOh","[1(S),1′(S)]-1,1′-Methylenebis[1-(3,5-dimethylphenyl)-1-phenylphosphine]","1258517-43-9","C29H30P2","440.50","methylene bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.201100154<NL>https://pubs.rsc.org/en/content/articlelanding/2010/dt/c0dt00542h","European Journal of Inorganic Chemistry (2011), (16), 2597-2609<NL>Dalton Transactions (2010), 39(42), 10068-10075","","0 structures","MB-87","Opt, SPE, SPE_NoRh",""
"eodP@D@@O@SprRJJIIIQSSQQiISQSprH[YZzh@`BbH@@BH@@@@ !Byvs}mpC~Sztn@@Jw_?xBbN]lyvs}m?vwTP@@?bx@Szu??`JwzFqOd`Jw@haQ@ED@@Ox@?d~RzFpBb@Jw","Phosphine, methylenebis[bis(3-methylphenyl)-","167109-94-6","C29H30P2","440.50","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00006a026","Organometallics (1995), 14(6), 2781-9","","0 structures","MB-88","Opt, SPE, NoRh",""
"eodP@D@@O@SprRJJIIIQ[QQIIH{ISppH[YXzh@`B`@J@@h@@@@ !BzFpBmw?~LJuQ@Ovw@O{}bNalzFpBm?rwK`A??eD@@Oxpdn]l?Xc}m~al?K\n@Bx@_?y??n]l_[\n@G?~","Phosphine, methylenebis[bis(4-methylphenyl)-","167109-93-5","C29H30P2","440.50","methylene bridge","https://pubs.acs.org/doi/10.1021/om300092x<NL>https://pubs.acs.org/doi/10.1021/jp9639051<NL>https://pubs.acs.org/doi/abs/10.1021/om00006a026","Organometallics (2012), 31(12), 4619-4622<NL>Journal of Physical Chemistry A (1997), 101(26), 4666-4672<NL>Organometallics (1995), 14(6), 2781-9","","0 structures","MB-89","Opt, SPE, NoRh",""
"eodP@D@@O@SprRJJIQJIQDqPqJIGRIqJZxyzh@bBJ@@HH@@@@@ !BAU~w@h`BWpVdf?x@m?vH?PU_fzPEW{\Bb@Jw@gi_b@Jdf{_}H@V[f?x@bOuzWzRd^e~H@k\Bb@J[fxc}","1,1′-Methylenebis[1,1-bis(2-methylphenyl)phosphine]","80058-11-3","C29H30P2","440.50","methylene bridge","","20 references","","DENNUG (W), DENPAO (Mo)","MB-90","Opt, SPE, NoRh",""
"eodP@D@@O@SprRJJJIIJI[QQPiH{RJqIZxyzh@d@i@@h@@@@@@ !B@hchDw?~_X`@?eE?LII}mwvH@h`BbN`SzALn_w?~_X`@?cBRLJwgDwvw_Xa??`JHKg|n_w?~_?{gDwvH","1,1′-(1,2-Butadien-1-ylidene)bis[1,1-diphenylphosphine]","109976-09-2","C29H26P2","436.47","monosubstituted","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cber.19871201213<NL>","Chemische Berichte (1987), 120(12), 2015-22","","GESMEW (bimetallic, Au)","DS-10","Opt, SPE, NoRh<NL>",""
"eodP@D@@O@cprRIIQQQIIIQQ[IHxKiHYZxyzjj`B`@@@@@@@@@ !B_X`@?gvw_?xBb@Jw_Xa}mpC~_Xa}mpC~@ha??`JH@h`BmpJw_X`@?gvw_Xa}b@C~@h`BbG?~_?x@?gvH","Phosphine, methylenebis[bis(phenylmethyl)-","94478-08-7","C29H30P2","440.50","methylene bridge","-<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cber.19841171209","Patent<NL>Chemische Berichte (1984), 117(12), 3400-13","","0 structures","MB-91","Opt, SPE, NoRh",""
"eodP@D@@OBSprRJQQJFIPqIQQiI[@asIZxyzjjjjjj`@@B`h@RDpWB\`@ !BAR@`AU|EWpTEHBAzzALn@OvwWpTEHEE?LIHpd`Jw_?yOk^`SK`@n@Ovw@O{}m?vH@k\Bmw?~_?x@?gvH","Phosphetane, 4-(diphenylphosphino)-2,2,3,3-tetramethyl-1-[5-methyl-2-(1-methy...","172266-25-0","C29H42P2","452.59","monosubstituted C-bridge","https://pubs.acs.org/doi/abs/10.1021/om00011a006","Organometallics (1995), 14(11), 4983-5","","ZIQCAD (Rh)","MS-15","Opt, SPE, NoRh",""
"eodP@F@@O@aph\IOCIpJ\BbHRHRDRHRHPhfHRDbDbDXDxBjzZ^jjjjjjjjjjfV@JDJFJIJDjJj@@ !BaTz^q\[f_vsmBmeiv^feojGZ~[ZI~[[zv^[fqngYglWFyhWNWFYZ_ZGZh]iV~kiNShTqnk[y~XgzmhUN","rel-(1R,2R,4S)-2-[[(1R,2R,4S)-3,3-Bis(trimethylsilyl)-2-phosphabicyclo[2.2.1]...","1204660-06-9","C25H50P2Si4","524.95","methylene bridge","https://www.degruyter.com/document/doi/10.1515/znb-2009-0110/html","Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (2009), 64(1), 73-82","","0 structures","MB-92","Opt, SPE, NoRh",""
"eodPBD@HDMC@OAcprRIIQQQIII[QPiIYsHHiZxyzjh@h@h@@@@@@@@ !B@Oy}mwvH@h`Bmw?~@Oy}b@C~_[]}bGvw@h`Bb@Jw@k\BbG?~_Xa}mpC~_Xa}bGvw@h`BbG?~_?y}bGvw","Phosphonous acid, methylenebis-, tetraphenyl ester","87648-02-0","C25H22O4P2","448.39","methylene bridge","-<NL>https://www.sciencedirect.com/science/article/abs/pii/S0003267000812465?via%3Dihub<NL>-<NL>-<NL>-","Patent<NL>Analytica Chimica Acta (1990), 232(2), 293-9<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1987), (9), 2117-24<NL>Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1983), 38B(8), 1027-30<NL>Patent","","0 structures","MB-93","Opt, SPE, NoRh",""
"eodPDD@IN`O@SprRJJIQIJI[QRqII[RJqJZ{Yzh@h@j@@`B@@P@Pb@@ !B@hchDw?~_X`@?eE?LII}mw?~@h`BbN`SzAM??by?_X`@?cBR_Xa}m~\SLJtBbG?~_?xn_ry?_Xa}msBm","(1S,1′S)-1,1′-Methylenebis[1-(2-methoxyphenyl)-1-phenylphosphine]","1220968-99-9","C27H26O2P2","444.44","methylene bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.201100154<NL>https://link.springer.com/article/10.1007/s10876-009-0244-7","European Journal of Inorganic Chemistry (2011), (16), 2597-2609<NL>Journal of Cluster Science (2009), 20(2), 267-280","","TUGCUU (Pd)","MB-94","Opt, SPE, SPE_NoRh",""
"eodPHD@N`O@SprRJJJIIJI[QQPiH{RJqIZxyzh@h@j@@X@@@@@@ !BDETBbE|Eec}xmGvH@Oz[i@U_DETPUPJH@hc~@E|EiImxm@C~mpJH@`U_fzPEWrAz?`C~@E|EWpVH@ind","4,4-Bis(diphenylphosphino)-2-butanone","1019206-51-9","C28H26OP2","440.45","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S0040403908001147?via%3Dihub","Tetrahedron Letters (2008), 49(11), 1762-1767","","BIXJIC (Pd)","MS-16","Opt, SPE, NoRh",""
"eodXHD@An`O@SprRJJJIIJI[QQPiH{RJqIZxyzh@h@j@@X@@@@@@ !BDETBbE|Eec}xmGvH@Oz[i@U_DETPUPJH@hc~@E|EiImxm@C~mpJH@`U_fzPEWrAz?`C~@E|EWpVH@ind","3,3-Bis(diphenylphosphino)propanamide","2243981-31-7","C27H25NOP2","441.44","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-17","Opt, SPE, NoRh",""
"eolP@D@@O@SprRJJIQIJJKZJXiK[PJsIHYZxyzh@`@h@@@@@@H@J@@ !BmpIlzOy?m?w~@Jtp@EFH?[\B?g~w?Fsh[Nc~_p@n?`Bw?[_}@EFH?[_}dcAly?y??g?~_p@n@Bzw?Vsg","","2425654-99-3","C29H24P2","434.45","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","SUPSII (Pd)","MB-95","Opt, SPE, SPE_NoRh",""
"eolP@D@@O@SprRJJISSQIIQQ[IHzc`KiHYZxyzjj`B`@@@@B@DHHa@@ !BYrpXKOy?GvTZXH@NYVBH_Yg_nuSLI{IP?g|@Ka}eGvV@Ch@NbGvw_VsgdcB{UKIP?g?~_p@n@Bzw_YHp","(2R,5R)-1-[(Diphenylphosphino)methyl]-2,5-diphenylphospholane","1789705-56-1","C29H28P2","438.48","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a<NL>https://pubs.acs.org/doi/10.1021/om2008265","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209<NL>Organometallics (2012), 31(3), 857-869","","SEJNUS (free ligand)","MB-96","Opt, SPE, NoRh",""
"eolP@D@@O@SprRJJISSQIIQQ[IHzc`KiHYZxyzjj`B`BjBjjBdHHa@@ !BYrpXKOy?GvTZXH@NYVBH_Yg_nuSLI{IP?g|@Ka}eGvV@Ch@NmwvH_VsgdcB{UKIP?g?~_p@n@BzH_YHp","(2R,5R)-1-[(Dicyclohexylphosphino)methyl]-2,5-diphenylphospholane","1789705-58-3","C29H40P2","450.58","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-97","Opt, SPE, NoRh",""
"eolPDD@HD@OAcprRIIQQQIIQQSSiI[bQrhKiZxyzjh@h@j`@@B@@HGj@ !BQIQn_z~J`Dehxt]s@k\BbFAZv]|voz~J@Ox@?dRkQJnPmT]sQwMI`@JH@k_YwvAZ@Ox@?dRkQJlBmvAZ","","1791455-17-8","C27H28O2P2","446.46","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-98","Opt, SPE, NoRh",""
"foo@A@@^AOCIHdeDdddddddddbjjjjjjjjjj`@@ !B?g~w?Hc|bOvw?_x@bOs~_{_|bOrH?[_}m?w~@Hc|?g~w?Hc|bOvw?[_}?`BH?Oy?m?rH?Hc}m?vH?Oy?","Phosphine, methylenebis[diheptyl-","4141-56-4","C29H62P2","472.75","methylene bridge","-","Zeitschrift fuer Naturforschung (1965), 20b(8), 810-11<NL>Zhurnal Obshchei Khimii (1965), 35(9), 1602-6","","0 structures","MB-99","Excluded",""
"fooHA@HHbdG`KpJHaHRDRDaHRDaXRDaHRDbjjjjjjjjjh@@ !BIZg~diji?eTeeejVIYX@[BViVjdej_xjVjg~JbVi?biZj_xj\l[~UUjVIYYZj_xjVjdejUji?bhej_xj","Phosphonous diamide, P,P′-methylenebis[N,N,N′,N′-tetrakis(1-methylethyl)-","152339-09-8","C25H58N4P2","476.70","methylene bridge","https://pubs.acs.org/doi/10.1021/ic950628o<NL>https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.199311671","Inorganic Chemistry (1996), 35(1), 46-50<NL>Angew. Chem., Int. Ed. Engl., 1993, 32(8), 1167-9","","0 structures","MB-100","Opt, SPE, NoRh",""
"foHA@HHbdG`KpJHaHRDRDaHRDaXRDaHRDcAJjjjjjjjjji@NL\@@ !B?g~H?G?~_?zdfxc}?`AoJoy?_?xEWrAz?g~H?H`BmpIzHE|E_X``^k\BAU}??`JHiImzHOx@mwvdfu|E","Phosphonous diamide, P-[2-[bis(1-methylethyl)amino]-4,4-dimethyl-1-(1-methyle...","128175-86-0","C25H56N4P2","474.69","monosubstituted C-bridge","https://www.tandfonline.com/doi/abs/10.1080/10426509008037986","Phosphorus, Sulfur and Silicon and the Related Elements (1990), 47(3-4), 327-34","","0 structures","MS-18","",""
"e`RX@D@E@OBSpJHaHRHRDRhQLbDbDbIQDaBEC@mkcgcoj`jhJbjjjjjJd@NLF@@ !Bq_]PlWm\k?xbixyPTKFqK?zP^rM]iuvgfBJgHo_ZHj\biy`bWY`bfJ\bWZ]KRw~Yb]@g^b]zIwi?fXgPb]@","rel-(2R,3S)-2-[Bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dih...","1044276-87-0","C29H47NP2","471.64","substituted bridge","https://pubs.acs.org/doi/10.1021/ic800430f","Inorganic Chemistry (2008), 47(15), 6900-6912","","0 structures","MS-92","Opt, SPE, NoRh","1H-1,3-Benzazaphosphole, 2-[bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dihydro-1-tricyclo[3.3.1.13,7]dec-1-yl-, (2R,3S)-rel-"
"e`RX@L@L@@acpx|DignYfYeUU_|JJcnkigmojZjj@@@@@@B@@@@ !B`CFYpMKP@k^H@`C~_[\BbN`SKg}??`C~_XaQ_sBRLJwgDwvH_[\Bb@JHzAOhDry?Kg}??g?~_X`pdn\S_[\","2-[Bis(diphenylphosphino)methyl]-4,5-dihydrothiazole","1073131-23-3","C28H25NP2S","469.52","monosubstituted","https://pubs.acs.org/doi/10.1021/ic800934h","Inorganic Chemistry (2008), 47(21), 9886-9897","","0 structures","MS-19","Opt, SPE, NoRh",""
"e`RXHD@H``O@SprRJJJIIJJKZJIEIGZIVYCS[OW_U@E@ER@AP@@P@@@ !B@hchDw?~@Oy}bEE?LII}mwvH@h`BbN`SzALn_w?~ot{RtGvHLIHpk^\S_Xa}myg@nuPn_ry?_?y??n\S_[\","2-[Bis(diphenylphosphino)methyl]-4,5-dihydrooxazole","1073131-10-8","C28H25NOP2","453.45","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/ic501566u<NL>https://pubs.acs.org/doi/10.1021/ic1024422<NL>https://pubs.acs.org/doi/10.1021/ic800934h","Inorganic Chemistry (2014), 53(24), 12739-12756<NL>Inorganic Chemistry (2011), 50(8), 3511-3522<NL>Inorganic Chemistry (2008), 47(21), 9886-9897","","0 structures","MS-20","Opt, SPE, NoRh",""
"e`TPLD@EIm`OBSpJHaHRHRDaJcHSHaHaHRIQJEKDcgj`jjB`JjhbJA@AXP@ !Bv_h^_qive_yVVjj~oiVU`UhipZhiIReZJUk~eUiVe_yVIUYZe_{~eZk~UbUZUbeZJUhiIZk~JRVU?eXeUbT","(2R,3S)-2-[Bis(1,1-dimethylethyl)phosphino]-4-(2,6-dimethoxyphenyl)-3-(1,1-di...","1467737-38-7","C27H40O3P2","474.55","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0957416614001542?via%3Dihub","Tetrahedron: Asymmetry (2014), 25(9), 709-717","","0 structures","MS-93","Opt, SPE, NoRh","1,3-Benzoxaphosphole, 2-[bis(1,1-dimethylethyl)phosphino]-4-(2,6-dimethoxyphenyl)-3-(1,1-dimethylethyl)-2,3-dihydro-, (2R,3S)-"
"e`\P@D@@O@SprRJJJIIJ[ZJIIIGYZAVQSG[WU@D`E@@T@AP@@@@ !B_?xn@@Jw?[_}bCBRyvp@?ovw_?y??bx@K`Ch[@Jw_Xcg[ED@LJt@?ovw_?xn@NalzFs|mpJwLJw}m~al?K\","","2247144-30-3","C30H30P2","452.51","monosubstituted","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00471","Organometallics (2018), 37(21), 3742-3749","","0 structures","DS-11","Opt, SPE, NoRh",""
"e`\PDD@Na`O@SprRJJJIIJI[QQPiKKZQVIKOG_U@E@EP@C@D@@@@@ !B?`A?TXc}mpJH@aOhkT~H@oy??`C~@G}Q_uFRLHc}m?vH?JuOD~`@Koy?b@Jw@oy?dcBRLHc}bOvw?P@nb@H","Methyl 3,3-bis(diphenylphosphino)propanoate","2243981-25-9","C28H26O2P2","456.45","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-21","Opt, SPE, NoRh",""
"e`\T@D@@n`O@SprRJJJIIJI[QQEIJKZQVISO[_U@E@EP@D@T@@@@@ !B?g|@Kk\Bm?vH?YHp[N_~@K_}?g?~_p@n@BylzK\BmpJH?VsgkS@@T[_}?`Bw?Vsh[Nbw@k_|mpK~_pAQ?`@","2-[2,2-Bis(diphenylphosphino)ethyl]-1,1-dimethylhydrazine","105632-78-8","C28H30N2P2","456.50","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/1986/c3/c39860000882","Journal of the Chemical Society, Chemical Communications (1986), (11), 882-3","","0 structures","MS-22","Opt, SPE, NoRh",""
"e`\T@D@Ai`O@SprRJJJIIJJKZJIEIGZIVY[OW_U@D`ET@Ax@@@@@@ !BzALBbG?~LIIQ_pC~_Xa}mwvHzAOhDpJH@ha??by?@ha??eE?_Xa}mwvHyqLpkPJH_?y??g?~Kg|n_wvHLJt","2-[Bis(diphenylphosphino)methylene]propanedinitrile","73577-19-2","C28H20N2P2","446.42","monosubstituted","https://onlinelibrary.wiley.com/doi/abs/10.1002/zaac.19794590114","Zeitschrift fuer Anorganische und Allgemeine Chemie (1979), 459, 131-9","","0 structures","DS-12","Opt, SPE, NoRh<NL>",""
"ehPV@DDHDIDlb`O@SpddkbbHRDaHRDaHRDaEaHrDaHRJjjZjjijjjj@@_qAHP !BIZg~diji?eTeeejVIYX@[OyUIZeZjRVi?biZj_xjIZg~Jeji?biZjWKF?eUZebVVVjg~JejiIZeZj_xjIZg~J`","Phosphonous diamide, P,P′-(diazomethylene)bis[N,N,N′,N′-tetrakis(1-methylethyl)-","105309-80-6","C25H56N6P2","502.70","substituted bridge","","13 references","","VAYFIK (free)","DS-52","Opt, SPE, NoRh","Phosphonous diamide, P,P′-(diazomethylene)bis[N,N,N′,N′-tetrakis(1-methylethyl)-"
"ehRP@D@@O@SpRifUYYuf_U_u@daegcoj`f@J`@B@BB@@@@ !B@ha??`Jw_X`@?gvw_X`@?`JH@ha??`Jw_?xBmpJH@O{}mwvw?[_}bGvw@Ox@?orw_?y??`Jw@k\BbGvH@Ox@?`","Butyl[[(1,2-diphenylethenyl)phenylphosphino]methyl]phenylphosphine","190964-43-3","C31H32P2","466.53","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X96062912?via%3Dihub","Journal of Organometallic Chemistry (1997), 529(1-2), 69-74","","0 structures","MB-101","Opt, SPE, NoRh",""
"ehRP@D@@O@SprRJJIQQQQQVqQIIH{SKph{yxFh@bHbhJjjj`h@@ !B@k]_^`JH@Oy}myn[AR@@?`Jw@h`Bmw?~WwizWu}ziJShDpJH_[\EHCBRT[}}b@C~@k]_^n`SzALBb@JHTW|@?`","Phosphine, [[bis(2,4,6-trimethylphenyl)phosphino]methyl]dicyclohexyl-","235422-54-5","C31H46P2","480.65","methylene bridge","-","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","0 structures","MB-102","Opt, SPE, NoRh",""
"ehRPDB@DC@H`cph|MHcHiiEEEEEEEBdddemfkageoc`YjjjP@@@@@@@@@@ !B?gJUyeQrOZ`@[Ek}yjhM?oyrjner?nfUzZir?nfUzZjUyjkfjn[~C^ZjyjhM?`w~?gK~\jkijner?nfjjn[~CP","Propanedioyl dichloride, bis(diphenylphosphino)-","128428-34-2","C27H20Cl2O2P2","509.30","disubstituted","-","Gazzetta Chimica Italiana (1990), 120(1), 53-6","","0 structures","DS-13","Opt, SPE, NoRh<NL>",""
"ehRPDD@Na`O@SprRJJJIIJI[QQPiKK[RJqIYx{zh@h@j@@X@``@@@ !B?g|@Kk_|bOvw?YHp[N_~@K_}?g?~_p@n@BxSzJRdm?rw?Vsg_uFRL@T`H@W~@K_}D~`SzJRdiJRw?IHpH@Vw?P","Ethyl 3,3-bis(diphenylphosphino)propanoate","1019206-60-0","C29H28O2P2","470.48","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>https://www.sciencedirect.com/science/article/abs/pii/S0040403908001147?via%3Dihub","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>Tetrahedron Letters (2008), 49(11), 1762-1767","","BIXKAV (Pd)","MS-23","Opt, SPE, NoRh",""
"ehRX@D@@`O@SprRJJJIIJI[QQEIJQ[RJqJ[{XFh@d@i@@`Bh@@@@ !B_r{~_x`BD~^mLK_}bOw~@Hc}_ry?Koy??g~H@aOhbOvmLHc}?`BH?W}QdcBH@hc|b@HSzAOh@k^H@ovHbOvRL@","N-[2,2-Bis(diphenylphosphino)ethenylidene]-2-methyl-2-propanamine","213920-87-7","C30H29NP2","465.51","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/2014/cc/c4cc02089h<NL>https://pubs.rsc.org/en/content/articlelanding/2009/dt/b903375k<NL>https://onlinelibrary.wiley.com/doi/10.1002/(SICI)1521-3773(20000515)39:10%3C1821::AID-ANIE1821%3E3.0.CO;2-H<NL>https://pubs.acs.org/doi/10.1021/om980448x","Chemical Communications (Cambridge, United Kingdom) (2014), 50(42), 5597-5599<NL>Dalton Transactions (2009), (42), 9280-9290<NL>Angewandte Chemie, International Edition (2000), 39(10), 1821-1823<NL>Organometallics (1998), 17(18), 3835-3837","","HINPOJ (Mn)","DS-14","Opt, SPE, NoRh<NL>",""
"ehRXHD@@h@OCcprRIQJIJJJKQQIEIH{QHY{[zxFjBhJB`@B@@@C@ADRQ@@ !B@h`n_w?~@O{gDsBm?X`Bb@JwKg|n_pJH_?x@?ovH@O{}msBm@O{}bOvw?X`Bb@JH@k\Bb@JH_?y??ovH?Xa}b@","","3032525-21-3","C29H31NOP2","471.51","methylene bridge","https://pubs-acs-org.sire.ub.edu/doi/10.1021/acs.joc.3c01753","Journal of Organic Chemistry (2023), 88(24), 16679-16706","","0 structures","MB-103","Opt, SPE, NoRh",""
"ehRXHD@An`O@SprRJJJIIJI[QQPiKQ[RJqI[xxFh@h@j@@X@h@@@@ !B?`A?TXc}b@Jw@juOD~bH@oy??`C~@G}Q_uFH?YHpm?vw?AOh?g~H@`@nD~bw@oy?bOvH?YHpdcBw?Xc}b@HSz@","3,3-Bis(diphenylphosphino)-N,N-dimethylpropanamide","2243981-28-2","C29H29NOP2","469.50","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-24","Opt, SPE, NoRh",""
"ehZP@D@@O@SprRJJIQIJJKZJIEIK[QJsJY{[zxFh@h@h@@@@@@@`@h@@ !B@hchDw?~_X`@?cBRTW}}mw?~@h`BbN`SzALn_w?~_Xa}mpC~TW|pk^\S_[]}bG?~_?xn_ry?_?y??gvwyqM}b@","","2425655-01-0","C31H26P2","460.49","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","SUPSUU (Pd)","MB-104","Opt, SPE, SPE_NoRh",""
